IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
180.68.64.242,16325,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,358,1.54
180.68.64.242,24323,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,350,1.53
103.44.255.27,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,4816,China Telecom Group,204,1.51
218.102.12.37,9999,TRUE,HKG,HK,Asia Pacific,Hong Kong,4760,HKT Limited,221,1.34
124.53.83.5,35549,TRUE,ICN,KR,Asia Pacific,Seoul,17858,LG POWERCOMM,385,1.23
121.168.117.22,24180,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,342,0.99
8.217.229.36,27530,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",193,0.95
8.218.22.210,2096,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",170,0.93
39.126.160.150,29493,TRUE,KIX,JP,Asia Pacific,Osaka,9319,HCN CHUNGBUK CABLE TV SYSTEMS,697,0.89
175.117.97.25,23855,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,341,0.82
180.68.64.242,12610,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,370,0.79
211.177.247.184,30060,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,384,0.73
49.142.244.129,20680,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,247,0.72
111.118.86.11,15356,TRUE,KIX,JP,Asia Pacific,Osaka,9319,HCN CHUNGBUK CABLE TV SYSTEMS,700,0.72
8.217.229.36,59970,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",178,0.66
49.142.244.129,16575,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,251,0.65
203.236.109.80,27901,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,390,0.64
47.76.49.246,2083,TRUE,HKG,HK,Asia Pacific,Hong Kong,45102,"Alibaba US Technology Co., Ltd.",198,0.61
111.118.86.11,31657,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,256,0.59
114.201.222.64,15193,TRUE,HKG,HK,Asia Pacific,Hong Kong,9318,SK Broadband Co Ltd,518,0.56
